timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
10065000,10065000,40.1540301960685,116.25948570196263,49.9185,49.930004,-0.0,0.4715431,0.8314457,49.82051,2,0,1,0
10073000,10073000,40.15403018907536,116.25948570816642,49.917572,49.929077,-0.0,0.47155094,0.81805915,49.8198,2,0,1,0
11060000,11060000,40.154030149019626,116.25948601345081,49.918636,49.931957,-0.0,0.3686082,0.6807255,49.82007,2,0,1,0
12072000,12072000,40.15403019622611,116.25948564292884,49.88638,49.900112,-0.0,0.3532207,0.61750704,49.769875,2,0,1,0
13069000,13069000,40.154030212211666,116.2594855837451,49.85988,49.877266,-0.0,0.3486763,0.5825684,49.75171,2,0,1,0
14068000,14068000,40.15403029548285,116.25948551028378,49.957706,49.975563,-0.0,0.34759316,0.56271183,49.835266,2,0,1,0
15056000,15056000,40.1540305672329,116.25948561389195,50.004246,50.016342,-0.0,0.3462284,0.54961514,49.90034,2,0,1,0
16061000,16061000,40.15403082298372,116.25948560125083,50.061996,50.062454,-0.0,0.34578744,0.5417157,49.9245,2,0,1,0
17072000,17072000,40.15403028718866,116.25948540097174,50.043873,50.031746,-0.0,0.3458722,0.53701067,49.897243,2,0,1,0
18068000,18068000,40.15403009554264,116.2594853957158,49.967598,49.948833,-0.0,0.34455353,0.5322792,49.836002,2,0,1,0
19069000,19069000,40.15402988229969,116.25948528974972,49.86802,49.85354,-0.0,0.3467581,0.53083825,49.787148,2,0,1,0
20057000,20057000,40.15402953444257,116.25948549034295,49.90644,49.898556,-0.0,0.34477368,0.52694124,49.83471,2,0,1,0
21061000,21061000,40.154029782547916,116.25948557272294,49.879757,49.875797,-0.0,0.3456628,0.5259618,49.796707,2,0,1,0
22061000,22061000,40.15403015416313,116.25948550457133,49.91194,49.910732,-0.0,0.344997,0.5247786,49.810246,2,0,1,0
23061000,23061000,40.15403002962516,116.25948625857583,49.944653,49.943497,-0.0,0.3442974,0.52465934,49.833263,2,0,1,0
24055000,24055000,40.154030300075256,116.25948536465442,50.167763,50.16266,-0.0,0.34401393,0.5235982,49.833263,2,0,1,0
25061000,25061000,40.154029815766826,116.25948555010523,50.465878,50.445606,-0.0,0.3446446,0.5235626,49.833263,2,0,1,0
26061000,26061000,40.15402970704894,116.25948579493765,50.597126,50.56604,-0.0,0.34779185,0.52392584,49.833263,2,0,1,0
27069000,27069000,40.15403058848718,116.25948601747112,50.694714,50.656586,-0.0,0.34732196,0.52401567,49.833263,2,0,1,0
28069000,28069000,40.154030568838934,116.25948563143206,50.637455,50.59953,-0.0,0.34549695,0.52298075,nan,2,0,0,0
29065000,29065000,40.154030295706555,116.25948542141484,50.611877,50.575016,-0.0,0.34462667,0.52269626,nan,2,0,0,0
30061000,30061000,40.15403042143154,116.25948530197402,50.638844,50.604332,-0.0,0.34414566,0.52273643,nan,2,0,0,0
31060000,31060000,40.15403064893123,116.25948610293666,50.65566,50.6196,-0.0,0.34324086,0.52213776,nan,2,0,0,0
32064000,32064000,40.15403145863792,116.2594850867512,50.539974,50.502457,-0.0,0.34329078,0.52236533,nan,2,0,0,0
33068000,33068000,40.1540317298222,116.25948474907739,50.437057,50.400875,-0.0,0.34325987,0.52249783,nan,2,0,0,0
34053000,34053000,40.15403157947215,116.25948535009512,50.424995,50.39221,-0.0,0.34549707,0.52364135,nan,2,0,0,0
35060000,35060000,40.15403186412492,116.25948528175694,50.380535,50.35115,-0.0,0.3455092,0.5237479,nan,2,0,0,0
36057000,36057000,40.154031953422724,116.25948500156773,50.410355,50.387184,-0.0,0.34525427,0.52359706,nan,2,0,0,0
37068000,37068000,40.15403184568442,116.25948513850496,49.94694,49.924606,-0.0,0.3440751,0.5223691,nan,2,0,0,0
38068000,38068000,40.154031921962826,116.25948512113152,50.003933,49.979485,-0.0,0.34341767,0.5215734,nan,2,0,0,0
39065000,39065000,40.154031941556056,116.25948453116797,50.015167,49.98681,-0.0,0.34379,0.5218033,49.91891,2,0,1,0
40065000,40065000,40.154031816053205,116.25948427894451,50.05405,50.018627,-0.0,0.34338382,0.52140564,49.939026,2,0,1,0
41068000,41068000,40.15403185889532,116.25948412346487,50.08538,50.04038,-0.0,0.3437799,0.52167463,49.962917,2,0,1,0
