timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
10031000,10031000,40.15403020155137,116.25952089675839,49.92211,49.930004,-0.0,0.4715431,0.8162193,49.821136,2,0,1,0
10039000,10039000,40.15403020456007,116.25952089291751,49.920437,49.92833,-0.0,0.47155094,0.8162222,49.819336,2,0,1,0
11031000,11031000,40.154030255785464,116.25952087909387,49.857574,49.870502,-0.0,0.36886036,0.67522365,49.779633,2,0,1,0
12031000,12031000,40.154030254077576,116.25952082100234,49.971165,49.98683,-0.0,0.35306454,0.6142733,49.88239,2,0,1,0
13027000,13027000,40.1540305136777,116.25952078235855,50.00116,50.01036,-0.0,0.34905916,0.5810325,49.890568,2,0,1,0
14027000,14027000,40.15403081621238,116.25952091630677,50.066887,50.065002,-0.0,0.34767514,0.5613126,49.94688,2,0,1,0
15031000,15031000,40.154030412136116,116.25952061484713,50.06889,50.05354,-0.0,0.34730068,0.5491126,49.937263,2,0,1,0
16027000,16027000,40.154030103966484,116.2595204233412,49.999325,49.975475,-0.0,0.34691033,0.54121053,49.86855,2,0,1,0
17027000,17027000,40.15402993284114,116.25952049216507,49.86516,49.84447,-0.0,0.34657717,0.5359236,49.783802,2,0,1,0
18031000,18031000,40.15402959343945,116.25952072513293,49.881943,49.86956,-0.0,0.34636623,0.53230494,49.811718,2,0,1,0
19039000,19039000,40.154029664105614,116.25952081173064,49.874844,49.866703,-0.0,0.34658477,0.5289788,49.774612,2,0,1,0
20032000,20032000,40.154030074104334,116.25952070701973,49.916176,49.912216,-0.0,0.34638596,0.5264238,49.81567,2,0,1,0
21028000,21028000,40.154029874121235,116.25952148692774,50.006756,50.003113,-0.0,0.3470566,0.5252667,49.80986,2,0,1,0
22024000,22024000,40.15403010590194,116.25951995407053,50.40747,50.39717,-0.0,0.3470361,0.5251043,49.80986,2,0,1,0
23028000,23028000,40.15402949475141,116.25952028070266,50.590027,50.567394,-0.0,0.3474059,0.5237793,49.80986,2,0,1,0
24031000,24031000,40.15402906150471,116.25952105470866,50.66918,50.635357,-0.0,0.34667805,0.5232695,49.80986,2,0,1,0
25031000,25031000,40.15402975997129,116.2595213348511,50.612297,50.572483,-0.0,0.3456893,0.52289253,nan,2,0,0,0
26035000,26035000,40.154029515210354,116.25952113692736,50.613216,50.573677,-0.0,0.3447719,0.522585,nan,2,0,0,0
27029000,27029000,40.154028851986695,116.25952068682932,50.619686,50.580547,-0.0,0.3442206,0.52235204,nan,2,0,0,0
28031000,28031000,40.154029005901144,116.25952033842614,50.647446,50.61092,-0.0,0.34400618,0.5221814,nan,2,0,0,0
29024000,29024000,40.154029157251514,116.25952121296115,50.700317,50.663807,-0.0,0.3435514,0.52174854,nan,2,0,0,0
30032000,30032000,40.154029369141085,116.25952170568364,50.67138,50.632698,-0.0,0.34342447,0.5217006,nan,2,0,0,0
31036000,31036000,40.154029203645685,116.25952120530444,50.64295,50.604053,-0.0,0.34335682,0.52073735,nan,2,0,0,0
32032000,32032000,40.154029003959614,116.25952154659844,50.66498,50.629738,-0.0,0.34358317,0.5219607,nan,2,0,0,0
33032000,33032000,40.154029506782905,116.25952092883153,50.66051,50.628914,-0.0,0.34337705,0.52189714,nan,2,0,0,0
34028000,34028000,40.154029352288404,116.25952055362275,50.692684,50.66795,-0.0,0.34289292,0.5215661,nan,2,0,0,0
35035000,35035000,40.154029173485746,116.25952085663096,50.710102,50.68613,-0.0,0.3428876,0.52085507,nan,2,0,0,0
36032000,36032000,40.154029205341445,116.25952086591451,50.68666,50.662117,-0.0,0.3424173,0.5208106,nan,2,0,0,0
37036000,37036000,40.15402907006389,116.25952038981822,50.680202,50.65527,-0.0,0.34216952,0.5207835,nan,2,0,0,0
38028000,38028000,40.15402908355742,116.25952076597319,50.696316,50.668976,-0.0,0.34533522,0.52207327,nan,2,0,0,0
39032000,39032000,40.15402902185429,116.25952139575313,50.684944,50.65281,-0.0,0.3451393,0.52214265,nan,2,0,0,0
40031000,40031000,40.15402924183709,116.25952126831346,50.630154,50.59381,-0.0,0.34487757,0.5222232,nan,2,0,0,0
41032000,41032000,40.15402913820892,116.25952165704093,50.649406,50.616276,-0.0,0.34465224,0.5222648,nan,2,0,0,0
42032000,42032000,40.15402923607676,116.2595217304338,50.69136,50.66316,-0.0,0.34413975,0.52107835,nan,2,0,0,0
43028000,43028000,40.15402903317849,116.25952141040852,50.67387,50.650524,-0.0,0.3443364,0.52151865,nan,2,0,0,0
44036000,44036000,40.15402889247187,116.25952123859695,50.676548,50.658016,-0.0,0.34415638,0.5216067,nan,2,0,0,0
45033000,45033000,40.15402936631651,116.25952094803525,50.67438,50.660954,-0.0,0.34379473,0.5216066,nan,2,0,0,0
46020000,46020000,40.15402953595293,116.25952078487154,50.065502,50.063087,-0.0,0.3429886,0.5212812,nan,2,0,0,0
47032000,47032000,40.15402950326328,116.25952081696033,49.97119,49.972225,-0.0,0.34318894,0.52163404,nan,2,0,0,0
48031000,48031000,40.15402962370554,116.25952050041715,49.955727,49.953125,-0.0,0.34298456,0.5216498,49.822063,2,0,1,0
49032000,49032000,40.15402934680749,116.25952066455848,49.917286,49.914654,-0.0,0.34289742,0.52069944,49.814667,2,0,1,0
50033000,50033000,40.15402931070523,116.25952069647492,49.897034,49.896767,-0.0,0.3427323,0.5204461,49.789654,2,0,1,0
